source,target
Rui Zhang,Shuguang Cui
Rui Zhang,Shuguang Cui
2),France)
Rui Zhang,Shuguang Cui
Rui Zhang,and Shuguang Cui
Rui Zhang,and Shuguang Cui
Rui Zhang,Shuguang Cui
Ying Cui,Rui Wang
Paul Cuff,H. Vincent Poor
UK),UK)
Pokkuluri Kiran Sree,Inampudi Ramesh Babu
Pokkuluri Kiran Sree,Inampudi Ramesh Babu
Pokkuluri Kiran Sree,Inampudi Ramesh Babu
Pokkuluri Kiran Sree,Inampudi Ramesh Babu
Pokkuluri Kiran Sree,Inampudi Ramesh Babu
H. Vincent Poor,Shuguang Cui
Pokkuluri Kiran Sree,Inampudi Ramesh Babu
Pokkuluri Kiran Sree,Inampudi Ramesh Babu
Pokkuluri Kiran Sree,Inampudi Ramesh Babu
Pokkuluri Kiran Sree,Inampudi Ramesh Babu
Stefano Salsano,Giuseppe Siracusano
Paul Cuff,H. Vincent Poor
Pokkuluri Kiran Sree,Inampudi Ramesh Babu
Sicun Gao,Wei Chen
MD,MD
Tehran,Tehran
Pokkuluri Kiran Sree,Inampudi Ramesh Babu
Erik Cuevas,Daniel Zaldivar
Erik Cuevas,Daniel Zaldivar
Erik Cuevas,Daniel Zaldivar
Erik Cuevas,Daniel Zaldivar
Erik Cuevas,Daniel Zaldivar
Erik Cuevas,Daniel Zaldivar
Erik Cuevas,Daniel Zaldivar
Erik Cuevas,Daniel Zaldivar
Stefano Salsano,Giuseppe Siracusano
Daniel Zaldivar,Erik Cuevas
Erik Cuevas,Daniel Zaldivar
Erik Cuevas,Daniel Zaldivar
Erik Cuevas,Daniel Zaldivar
Bruno Lepri,Nicu Sebe
Cunlai Pu,Jian Yang
Paul Cuff,H. Vincent Poor
Serbia),Serbia)
Serbia),Serbia)
Serbia),Universidade de Lisboa
Serbia),Portugal)
Serbia),Serbia)
Serbia),Universidade de Lisboa
Serbia),Portugal)
Serbia),Universidade de Lisboa
Serbia),Portugal)
Universidade de Lisboa,Portugal)
Paul Cuff,H. Vincent Poor
Tong Zhang,Xiaofeng Tao
Tong Zhang,Qimei Cui
Xiaofeng Tao,Qimei Cui
Tong Zhang,Xiaofeng Tao
Tong Zhang,Qimei Cui
Xiaofeng Tao,Qimei Cui
Yang Yang,Gesualdo Scutari
France),France)
France),France)
France),France)
France),France)
France),France)
France),France)
Marcus Rohrbach,Kate Saenko
Marcus Rohrbach,Trevor Darrell
Kate Saenko,Trevor Darrell
Marcus Rohrbach,Kate Saenko
Jie Xu,Rui Zhang
Jie Xu,and Shuguang Cui
Rui Zhang,and Shuguang Cui
Sanja Fidler,Cristian Sminchisescu
Ping Zhang,Shuguang Cui
Ping Zhang,Shuguang Cui
Cunhua Pan,Wei Xu
Cunhua Pan,Hong Ren
Wei Xu,Hong Ren
Paul Cuff,H. Vincent Poor
Marcus Rohrbach,Trevor Darrell
Marcus Rohrbach,Kate Saenko
Trevor Darrell,Kate Saenko
Peng Cui,Fei Wang
Karen Simonyan,Koray Kavukcuoglu
Kevin Gimpel,Karen Livescu
Giuseppe Siracusano,Stefano Salsano
Wei Cui,Cunlai Pu
Elisa Ricci,Bruno Lepri
Elisa Ricci,Nicu Sebe
Bruno Lepri,Nicu Sebe
Hao Tang,Weiran Wang
Hao Tang,Kevin Gimpel
Hao Tang,Karen Livescu
Weiran Wang,Kevin Gimpel
Weiran Wang,Karen Livescu
Kevin Gimpel,Karen Livescu
Portugal),Portugal)
Portugal),Portugal)
Portugal),Portugal)
Rui Zhang,and Shuguang Cui
Tom Everitt,Marcus Hutter
Tom Sercu,Brian Kingsbury
Tom Sercu,Yann LeCun
Brian Kingsbury,Yann LeCun
Dan Xu,Elisa Ricci
Dan Xu,Yan Yan
Dan Xu,Nicu Sebe
Elisa Ricci,Yan Yan
Elisa Ricci,Nicu Sebe
Yan Yan,Nicu Sebe
Weiran Wang,Karen Livescu
H. Vincent Poor,"Shuguang
  Cui"
Marcus Rohrbach,Trevor Darrell
Nils Jansen,Ufuk Topcu
Marcus Rohrbach,Trevor Darrell
Marcus Rohrbach,Trevor Darrell
Hong Ren,Nan Liu
Hong Ren,Cunhua Pan
Nan Liu,Cunhua Pan
Marcus Rohrbach,Kate Saenko
Marcus Rohrbach,Trevor Darrell
Kate Saenko,Trevor Darrell
Weiran Wang,Karen Livescu
Weiran Wang,Karen Livescu
Marcus Rohrbach,Kate Saenko
Marcus Rohrbach,Trevor Darrell
Kate Saenko,Trevor Darrell
Kevin Gimpel,Karen Livescu
Yiming Cui,Shijin Wang
Yin Cui,Serge Belongie
Cunlai Pu,Jian Yang
Hui Liu,Tao Cui
Marcus Rohrbach,Trevor Darrell
Weiran Wang,Karen Livescu
Vlad Niculae,Cristian Danescu-Niculescu-Mizil
Weiran Wang,Hao Tang
Weiran Wang,Karen Livescu
Hao Tang,Karen Livescu
Hong Ren,Nan Liu
Hong Ren,Cunhua Pan
Nan Liu,Cunhua Pan
Nicu Sebe,Bruno Lepri
Marcus Rohrbach,Trevor Darrell
Cuiling Lan,Wenjun Zeng
Marcus Rohrbach,Trevor Darrell
Yan Yan,"Nicu
  Sebe"
Cuiling Lan,Wenjun Zeng
Ying Cui,Hui Liu
George Saon,Tom Sercu
Bogdan Georgescu,Dorin Comaniciu
Dorin Comaniciu,Bogdan Georgescu
Tom Everitt,Marcus Hutter
Tom Everitt,Marcus Hutter
Giuseppe Siracusano,Stefano Salsano
Enver Sangineto,Nicu Sebe
Yue Yu,Bogdan Vasilescu
Tom Everitt,Marcus Hutter
Ting Liu,Yiming Cui
Oriol Vinyals,Koray Kavukcuoglu
Oriol Vinyals,Koray Kavukcuoglu
Cunlai Pu,Jian Yang
Marcus A. Brubaker,Sanja Fidler
Marcus Rohrbach,Trevor Darrell
Marcus Rohrbach,Kate Saenko
Trevor Darrell,Kate Saenko
Yiming Cui,Ting Liu
Kevin Gimpel,Karen Livescu
Cuiyun Gao,Michael R. Lyu
Yiming Cui,Shijin Wang
Yang Li,Zhen Cui
Nicu Sebe,Bruno Lepri
Hao Tang,Weiran Wang
Hao Tang,Kevin Gimpel
Hao Tang,Karen Livescu
Weiran Wang,Kevin Gimpel
Weiran Wang,Karen Livescu
Kevin Gimpel,Karen Livescu
Stefano Salsano,Giuseppe Siracusano
Tom Everitt,Marcus Hutter
Marcus Rohrbach,Trevor Darrell
Marcella Cornia,Lorenzo Baraldi
Alexis Decurninge,Maxime Guillaud
Karen Simonyan,Koray Kavukcuoglu
Weiran Wang,Hao Tang
Weiran Wang,Karen Livescu
Hao Tang,Karen Livescu
Enver Sangineto,"Nicu
  Sebe"
Karen Simonyan,Oriol Vinyals
Karen Simonyan,Koray Kavukcuoglu
Oriol Vinyals,Koray Kavukcuoglu
Lorenzo Baraldi,Rita Cucchiara
CNRS,France
CNRS,France
CNRS,UK)
France,France
France,UK)
France,UK)
Weiran Wang,Karen Livescu
Mihai Zanfir,Cristian Sminchisescu
Cunlai Pu,Jian Yang
Hao Tang,Weiran Wang
Hao Tang,Kevin Gimpel
Hao Tang,Karen Livescu
Weiran Wang,Kevin Gimpel
Weiran Wang,Karen Livescu
Kevin Gimpel,Karen Livescu
Karen Simonyan,Koray Kavukcuoglu
Weiran Wang,Karen Livescu
Cuiling Lan,Wenjun Zeng
Zhiyuan Liu,Maosong Sun
Shu Wu,Liang Wang
Simone Calderara,Rita Cucchiara
Lorenzo Baraldi,Rita Cucchiara
Marcella Cornia,Lorenzo Baraldi
Marcella Cornia,Rita Cucchiara
Lorenzo Baraldi,Rita Cucchiara
Marcus Rohrbach,Trevor Darrell
Pierre-Luc Bacon,Doina Precup
Trevor Darrell,Marcus Rohrbach
Germany),Germany)
Germany),Germany)
Germany),Germany)
Germany),Germany)
Germany),Germany)
Germany),Germany)
Ying Cui,Shi Jin
Hui Liu,Tao Cui
Mihai Zanfir,Cristian Sminchisescu
Murat Cubuktepe,Nils Jansen
Murat Cubuktepe,Ufuk Topcu
Nils Jansen,Ufuk Topcu
Michele Alberti,Marcus Liwicki
Hui Liu,Tao Cui
Jie Xu,Xin Wang
Jie Xu,and Shuguang Cui
Xin Wang,and Shuguang Cui
Yaping Sun,Ying Cui
Yaping Sun,Hui Liu
Ying Cui,Hui Liu
Stefano Salsano,Giuseppe Siracusano
Hidayet Aksu,Abbas Acar
Youssef Mroueh,Tom Sercu
Oriol Vinyals,Koray Kavukcuoglu
George Saon,Tom Sercu
George Saon,Xiaodong Cui
Tom Sercu,Xiaodong Cui
UK,Sweden
Cuiling Lan,Wenjun Zeng
Santiago Pascual,Joan Serr\`a
Hao Tang,Karen Livescu
Hong Ren,Nan Liu
Hong Ren,Cunhua Pan
Hong Ren,Maged Elkashlan
Nan Liu,Cunhua Pan
Nan Liu,Maged Elkashlan
Cunhua Pan,Maged Elkashlan
Dan Xu,Elisa Ricci
Dan Xu,Nicu Sebe
Elisa Ricci,Nicu Sebe
Dan Xu,Elisa Ricci
Dan Xu,Nicu Sebe
Elisa Ricci,Nicu Sebe
Abbas Acar,Hidayet Aksu
Abbas Acar,A. Selcuk Uluagac
Hidayet Aksu,A. Selcuk Uluagac
Marcus Rohrbach,Trevor Darrell
Jie Xu,Rui Zhang
Jie Xu,and Shuguang Cui
Rui Zhang,and Shuguang Cui
Wei Cui,Cunlai Pu
Simone Calderara,"Rita
  Cucchiara"
Nanjing,Nanjing
Nanjing,China)
Nanjing,China)
Daniela Micucci,Leonardo Mariani
Radu Tudor Ionescu,Marius Popescu
Radu Tudor Ionescu,Marius Popescu
Daniela Micucci,Leonardo Mariani
Tom Everitt,Laurent Orseau
Tom Everitt,Marcus Hutter
Laurent Orseau,Marcus Hutter
Pierre-Luc Bacon,Doina Precup
Youssef Mroueh,Tom Sercu
Nanjing,Nanjing
Nanjing,Nanjing
Nanjing,China)
Nanjing,Nanjing
Nanjing,China)
Nanjing,China)
Simone Calderara,Rita Cucchiara
Kevin Gimpel,Karen Livescu
USA,NY
USA,USA
USA,NY
USA,USA)
NY,USA
NY,NY
NY,USA)
USA,NY
USA,USA)
NY,USA)
Enver Sangineto,Nicu Sebe
Giuseppe Siracusano,Stefano Salsano
Ying Cui,Yang Yang
Tom Everitt,Marcus Hutter
Simone Calderara,"Rita
  Cucchiara"
